sigma_exc,sigma_inh,g_exc,g_inh,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,composite_error,error_message
0.08750000000000001,0.2,0.875,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,1.0,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.875,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,1.0,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,1.0,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,1.0,-0.3,0.014401570349734978,0.9853304957507326,0.1719194884670272,0.014615979375125796,0.08376927175709394,0.3790069825324879,0.21064213943020046,
0.08750000000000001,0.25,0.5,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.5,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.75,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.5,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.5,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.5,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.625,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.625,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.625,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.625,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.75,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.75,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.625,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.75,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.75,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.875,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.875,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.875,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,1.0,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.875,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,1.0,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,1.0,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.875,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.5,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.625,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,1.0,-0.3,0.000847890646703229,0.9955628487290619,0.09430816082744319,0.0008516696251461694,0.008990639190330782,0.6268709337463226,0.3154890955987713,
0.08750000000000001,0.3,0.5,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.5,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.5,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,0.75,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.625,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.5,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.625,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.625,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.625,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.75,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.75,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.75,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.75,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.75,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.25,1.0,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.875,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.875,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.875,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.875,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,0.875,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,1.0,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.125,0.1,0.5,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.125,0.1,0.5,-0.4750000000000001,0.05235987755982988,1.0000000000000002,,0.05235987703623111,,0.9415643363277145,,
0.08750000000000001,0.3,1.0,-0.3,2.5639946154097946e-16,0.9976440018098599,0.06868431985752785,2.5700496219672235e-16,3.733013038097049e-15,0.7231433391491987,0.3615716695746002,
0.125,0.1,0.5,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,1.0,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.3,1.0,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.125,0.1,0.5,-0.3,0.0001949375985283729,0.9630831952896168,0.2742825869301975,0.00020240992414539258,0.0007107180981123778,0.13640834905788196,0.06840704112580707,
0.08750000000000001,0.3,1.0,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.125,0.1,0.625,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
