composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,sigma_exc,sigma_inh,g_exc,g_inh
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,1. mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.1,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,1. mV,-0.475 mV
0.07142632771329392,0.0023930966401608873,0.963564711626925,0.27245410595402747,0.002483586817209619,0.00878348532051371,0.1378491092080566,,0.125,0.1,0.5 mV,-300. uV
0.3673404901883501,0.0010087721971341053,0.9977087696688192,0.06773255041389693,0.0010110888244052121,0.014893462463317074,0.7281169420967302,,0.08750000000000001,0.3,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.1,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.1,0.625 mV,-0.65 mV
0.6490894388415772,0.02617993877991494,0.9996573249755573,0.026181052214051943,0.026188912804361177,0.9999574717575177,0.8824825412975306,,0.125,0.1,0.5 mV,-0.475 mV
